RegionName,County_State,CountyName,StateFullName,Lat,Long,2010,2011,2012,2013,2014,2015,2016,2017
Westmoreland,"Westmoreland, PA",Westmoreland,Pennsylvania,40.361852,-79.75128,1955.583333,2246.083333,1883.5,1910.5,1930.5,1945.75,2009.583333,1791.416667
Forsyth,"Forsyth, NC",Forsyth,North Carolina,36.213266,-80.084667,3221.583333,3158.083333,2453.916667,2227.083333,2282.416667,1901.25,1764.916667,1421.25
Charleston,"Charleston, SC",Charleston,South Carolina,32.780326,-79.940844,4092.25,3798.833333,3119.75,2702.166667,2870.916667,2820.75,2562.583333,2903.833333
Lehigh,"Lehigh, PA",Lehigh,Pennsylvania,40.514472,-75.602941,2421.583333,2426.25,1954.5,1792.416667,1863.75,1700.083333,1458.916667,1126.333333
Placer,"Placer, CA",Placer,California,39.014933,-121.07047,1857.333333,2191.166667,1603,1268,1599.833333,1845.833333,1694.75,1375.833333
Orleans,"Orleans, LA",Orleans,Louisiana,29.958304,-90.077,1581.166667,1376.916667,1120.916667,952.6666667,883.5833333,962.8333333,1137.166667,1566.25
Hamilton,"Hamilton, TN",Hamilton,Tennessee,35.017572,-85.018914,3206.5,3416,2885.5,2938.666667,2841.833333,2161.5,1819.416667,1469.583333
Somerset,"Somerset, NJ",Somerset,New Jersey,40.629101,-74.532449,2379.416667,2460.333333,2320.166667,1820.416667,1812.5,1942.416667,1826.083333,1537.333333
Manatee,"Manatee, FL",Manatee,Florida,27.404731,-82.470456,5246.5,4889.916667,3577.5,2875.666667,3033.166667,2784.833333,3155.833333,3119.416667
Luzerne,"Luzerne, PA",Luzerne,Pennsylvania,40.964584,-76.008333,1157.083333,1515.5,1494,1511.583333,1744,1973.166667,1808.416667,1542.166667
Saint Louis City,"Saint Louis City, MO",Saint Louis City,Missouri,38.631501,-90.19231,2355.833333,2113.666667,1650.583333,1475.083333,1342.5,1189,1038.166667,923
Chesterfield,"Chesterfield, VA",Chesterfield,Virginia,37.454138,-77.66258,3022.75,2495.416667,1561.083333,1434.583333,1534.75,1562.416667,1464.416667,1466.416667
Brazoria,"Brazoria, TX",Brazoria,Texas,28.995948,-95.520413,2620.166667,2770,1977.5,1667.833333,1366.666667,1180.833333,1114.916667,1273
Loudoun,"Loudoun, VA",Loudoun,Virginia,39.002125,-77.442066,1622.5,1946.166667,1498.916667,1029,1626.333333,1882.5,1565.25,1254.416667
Rockland,"Rockland, NY",Rockland,New York,41.137295,-74.105737,1704,1726.166667,1608.5,1457.666667,1559.833333,1599.333333,1467.916667,1226.083333
McHenry,"McHenry, IL",McHenry,Illinois,42.324761,-88.452481,3291.583333,3420.916667,2739.666667,1952,2057.5,2193.583333,1947.25,1599.75
Henrico,"Henrico, VA",Henrico,Virginia,37.531296,-77.416103,2218.583333,1959.416667,1200,1008.916667,1042.333333,1055.083333,918.75,780.25
Lorain,"Lorain, OH",Lorain,Ohio,41.361746,-82.253828,2037.916667,2247.666667,1944.416667,1850.25,1778,1756.5,1560.25,1412
Northampton,"Northampton, PA",Northampton,Pennsylvania,40.693376,-75.471156,2086.25,2266.416667,1837.583333,1656.916667,1735.666667,1607.333333,1425.166667,1138.75
Lake,"Lake, FL",Lake,Florida,29.174011,-81.575044,3963.25,3934.416667,3179.083333,2579.166667,2798.333333,2537.916667,2213.916667,1849.166667
Galveston,"Galveston, TX",Galveston,Texas,29.403211,-95.073408,3829,4062.75,3397.75,3012.416667,2658.5,2076.333333,1913.5,2036.666667
Howard,"Howard, MD",Howard,Maryland,39.1332,-76.798843,1439,1610.833333,1111.5,802.5,1059.5,1145.583333,1063.166667,880.1666667
Douglas,"Douglas, CO",Douglas,Colorado,39.374779,-104.849988,3651.166667,3300.833333,1969.083333,1554.5,1447.083333,1206.5,1259.333333,1086.416667
Madison,"Madison, IL",Madison,Illinois,38.882109,-89.739366,2249.166667,2031.5,1826.416667,1865.75,2055.916667,1874.416667,1514.916667,1320.916667
